Quarter,GDP,GDP Non-Oil,GDP Oil,REER,CPI,OPEC,Exports,log_GDP,log_Non_oil_GDP,log_Oil_GDP,log_REER,log_CPI,log_OPEC,log_Exports,dlog_GDP,dlog_Non_oil_GDP,dlog_Oil_GDP,dlog_REER,dlog_CPI,dlog_OPEC,dlog_Exports
2014Q2,850118.7802817938,365226.1346143195,367865.95707619505,89.57031850961538,95.38773413971754,120.17750543378307,276843.66941105766,13.653131360211557,12.808271987613233,12.815473903721431,4.495023998466216,4.557949997229094,4.788969861773921,12.531208255495388,-0.02422355962228373,-0.004300389084821887,-0.05048249115466952,-0.0018565360005355913,0.00915322804553842,-0.011955590367216828,-0.021332012813410017
2014Q3,841728.8933632594,364082.0482828305,345646.49520806124,89.66916733440169,95.33092748467749,115.27712840092875,269473.16115785256,13.643213261999422,12.805134528588868,12.753171841608598,4.496126979032604,4.557354285658594,4.747339041604198,12.504224076831585,-0.009918098212134296,-0.0031374590243657963,-0.06230206211283296,0.0011029805663875791,-0.0005957115704999794,-0.04163082016972375,-0.02698417866380254
2014Q4,741772.3626774268,362555.36268028035,268402.27320688975,93.13375066773503,95.88939288535056,85.75971501800495,270414.5275040064,13.516797686235755,12.800932466250902,12.500242153518052,4.534036639186963,4.563195369779925,4.451549374299304,12.507711347684113,-0.12641557576366758,-0.004202062337965273,-0.2529296880905463,0.03790966015435959,0.005841084121331441,-0.2957896673048932,0.0034872708525277574
2015Q1,744872.1589929637,384942.1545347689,195125.33175664442,97.4300968215812,95.8886121602544,57.74550861045878,275479.74192708335,13.520967883969798,12.860848354019927,12.181397358042524,4.5791351651920795,4.563187227812905,4.056045573398359,12.526269372846388,0.004170197734042702,0.05991588776902468,-0.3188447954755276,0.04509852600511621,-8.141967020591778e-06,-0.3955038009009453,0.01855802516227456
2015Q2,741523.5833357772,387984.36234392505,214158.77792143615,97.88365184294872,96.40773413971755,66.58678075404647,281328.0694110577,13.516462244957632,12.868720314555906,12.27447297179691,4.583779547267017,4.5685864280633925,4.198506070668677,12.547276774110736,-0.00450563901216583,0.007871960535979383,0.09307561375438667,0.004644382074937781,0.005399200250487901,0.14246049727031806,0.021007401264348857
2015Q3,705937.6500149183,384834.16785224003,177688.660562537,98.8491673344017,96.38426082467748,54.417641866054744,276042.96115785255,13.46728219814897,12.860567787626556,12.087788199853064,4.59359512605461,4.5683429188330384,3.9966884002966987,12.528311788955122,-0.049180046808661615,-0.008152526929350756,-0.18668477194384714,0.00981557878759265,-0.00024350923035409977,-0.2018176703719785,-0.0189649851556144
2015Q4,659055.0098742596,383573.52641373954,153898.38623411168,100.3304173344017,97.04272621535057,46.36987688882478,274251.32750400645,13.398562284772078,12.857286606089907,11.944047833963753,4.60846891254615,4.575151357969023,3.83665004342518,12.52180021861439,-0.0687199133768921,-0.0032811815366482477,-0.14374036588931105,0.01487378649154003,0.006808439135984834,-0.16003835687151868,-0.006511570340732575
2016Q1,658876.2174139415,383786.85389530146,129971.3591777027,102.78676348824786,98.3486121602544,33.93223429344183,301597.1419270834,13.398290961871895,12.857842609481617,11.77506939114735,4.632656584888858,4.588518433502706,3.52436542671482,12.61684743870195,-0.0002713229001827244,0.0005560033917095808,-0.16897844281640317,0.024187672342708133,0.013367075533682993,-0.3122846167103601,0.09504722008755984
2016Q2,691886.6279919116,390445.0824250718,160250.72461304368,100.65698517628205,98.69440079971754,45.527981605234004,296953.5694110577,13.447177388796185,12.875042604377295,11.984494896538957,4.611718550336226,4.592028215344113,3.818327117268805,12.601331073614423,0.04888642692428924,0.017199994895678472,0.2094255053916072,-0.02093803455263199,0.0035097818414069337,0.293961690553985,-0.015516365087526296
2016Q3,697463.2651158578,387946.897084974,171912.70289209145,100.00916733440171,98.38759415467749,47.31240948301521,297648.46115785255,13.455205124790167,12.868623746055734,12.054742085627845,4.605261855130364,4.588914720446157,3.8567726180231072,12.603668408596233,0.008027735993982432,-0.006418858321561416,0.07024718908888872,-0.006456695205861784,-0.003113494897956315,0.03844550075430231,0.002337334981810102
2016Q4,730401.047972401,391229.32452031644,191903.16030248554,102.06708400106838,98.27272621535057,54.52031022515685,299446.9275040064,13.50134904305431,12.877049174763663,12.164746150346303,4.6256302833884115,4.587746534081223,3.9985732969287398,12.609692477175807,0.04614391826414277,0.008425428707928617,0.11000406471845814,0.02036842825804719,-0.0011681863649339874,0.14180067890563253,0.006024068579574049
2017Q1,734237.8678372412,395021.7283680382,208214.87100732102,102.35009682158119,97.7452788302544,58.53721659204643,292316.94192708336,13.506588325720054,12.886696050897024,12.246325859160383,4.628399258092012,4.58236489928735,4.069662733021048,12.585593910169193,0.005239282665744582,0.00964687613336146,0.08157970881407905,0.0027689747036001577,-0.0053816347938733244,0.07108943609230867,-0.024098567006614502
2017Q2,726996.1684164942,401778.47762921656,185717.5218589951,100.64365184294871,98.05440079971754,52.66254902991269,283831.5694110577,13.496676486098046,12.903656165043346,12.13198209861922,4.611586078491623,4.585522434855099,3.9639045583260675,12.556136275756442,-0.009911839622008145,0.016960114146321814,-0.11434376054116235,-0.01681317960038875,0.0031575355677491146,-0.10575817469498094,-0.029457634412750622
2017Q3,752314.0974193318,407105.93715638947,192948.84541923806,97.0291673344017,97.63092748467749,55.60800912481228,289691.2611578526,13.530909198465297,12.916828718409262,12.170180383113905,4.5750116274730415,4.581194323189152,4.0183272398898895,12.576571018158704,0.034232712367250784,0.013172553365915718,0.0381982844946851,-0.03657445101858148,-0.004328111665946821,0.05442268156382202,0.020434742402262174
2017Q4,795038.6673204084,410944.92619623657,229539.64136837827,95.5304173344017,96.97272621535056,68.60726042878257,293012.22750400635,13.586146030592552,12.926214484977095,12.343831022840734,4.559444702893768,4.57442976592921,4.228398366285748,12.58796961922403,0.05523683212725494,0.009385766567833187,0.17365063972682826,-0.015566924579273334,-0.006764557259941739,0.21007112639585834,0.011398601065325309
2018Q1,812172.599784479,382572.83163300605,264811.3026218754,96.15676348824786,100.6686121602544,70.75812969913324,291747.24192708335,13.607468157866796,12.854674323621195,12.486772785751425,4.565979812652331,4.611834054615255,4.25926743733024,12.583643096555132,0.021322127274244096,-0.07154016135589991,0.1429417629106915,0.0065351097585626405,0.037404288686045284,0.030869071044492102,-0.004326522668897326
2018Q2,871629.816224545,396686.60380412213,293637.19081098115,97.2336518429487,100.41106746971754,77.07498459207888,310131.5694110577,13.678120090077579,12.89090183684759,12.590100239399842,4.577116863924734,4.609272434944461,4.344778773864038,12.644751903876742,0.07065193221078303,0.03622751322639495,0.10332745364841678,0.011137051272402942,-0.0025616196707947125,0.0855113365337985,0.061108807321609504
